movie_name,hero_name,total_WW_cls,day1_WW_Gross_cr,verdict
Gangotri,Allu Arjun,3.5,0.4,Flop
Arya,Allu Arjun,32.0,1.2,Average
Desamuduru,Allu Arjun,36.0,2.1,Average
Happy,Allu Arjun,28.0,1.1,Average
Bunny,Allu Arjun,,,
Arya 2,Allu Arjun,,,
Vedam,Allu Arjun,,,
Badrinath,Allu Arjun,,,
Julayi,Allu Arjun,,,
Race Gurram,Allu Arjun,,,
S/O Satyamurthy,Allu Arjun,,,
Sarrainodu,Allu Arjun,,,
Duvvada Jagannadham,Allu Arjun,,,
Naa Peru Surya,Allu Arjun,,,
Ala Vaikunthapurramuloo,Allu Arjun,262.0,8.5,Blockbuster
Pushpa: The Rise,Allu Arjun,365.0,53.0,Blockbuster
Pushpa 2: The Rule,Allu Arjun,,,
Parugu,Allu Arjun,,,
Rudhramadevi,Allu Arjun,,,
Student No: 1,Jr NTR,,,
Subbu,Jr NTR,,,
Ninnu Choodalani,Jr NTR,,,
Aadi,Jr NTR,,,
Santosham,Jr NTR,,,
Simhadri,Jr NTR,,,
Rakhi,Jr NTR,,,
Ashok,Jr NTR,,,
Yamadonga,Jr NTR,,,
Kantri,Jr NTR,,,
Adhurs,Jr NTR,,,
Brindavanam,Jr NTR,,,
Shakti,Jr NTR,,,
Oosaravelli,Jr NTR,,,
Dammu,Jr NTR,,,
Janatha Garage,Jr NTR,135.0,8.0,Super Hit
Temper,Jr NTR,,,
Nannaku Prematho,Jr NTR,,,
Jai Lava Kusa,Jr NTR,,,
Aravinda Sametha,Jr NTR,,,
RRR,Jr NTR,1230.0,134.0,Blockbuster
Devara,Jr NTR,,,
Baadshah,Jr NTR,,,
Ramayya Vastavayya,Jr NTR,,,
Evaru Meelo Koteeswarudu,Jr NTR,,,
Rajakumarudu,Mahesh Babu,,,
Yuvaraju,Mahesh Babu,,,
Vamsi,Mahesh Babu,,,
Okkadu,Mahesh Babu,30.0,1.8,Average
Nijam,Mahesh Babu,,,
Neeku Nenu Naku Nuvvu,Mahesh Babu,,,
Athadu,Mahesh Babu,40.0,2.5,Average
Pokiri,Mahesh Babu,66.0,4.2,Hit
Sainikudu,Mahesh Babu,,,
Dhookudu,Mahesh Babu,,,
Businessman,Mahesh Babu,,,
Seethamma Vakitlo Sirimalle Chettu,Mahesh Babu,,,
1 Nenokkadine,Mahesh Babu,,,
Aagadu,Mahesh Babu,,,
Srimanthudu,Mahesh Babu,144.0,7.0,Super Hit
Bharat Ane Nenu,Mahesh Babu,,,
Maharshi,Mahesh Babu,,,
Sarileru Neekevvaru,Mahesh Babu,,,
Sarkaru Vaari Paata,Mahesh Babu,,,
Guntur Kaaram,Mahesh Babu,,,
Spyder,Mahesh Babu,,,
Akkada Ammayi Ikkada Abbayi,Pawan Kalyan,,,
Tholi Prema,Pawan Kalyan,,,
Thammudu,Pawan Kalyan,25.0,1.0,Average
Badri,Pawan Kalyan,,,
Kushi,Pawan Kalyan,52.0,2.2,Hit
Johnny,Pawan Kalyan,,,
Gudumba Shankar,Pawan Kalyan,,,
Balu ABCDEFG,Pawan Kalyan,,,
Bangaram,Pawan Kalyan,,,
Annavaram,Pawan Kalyan,,,
Shankar Dada MBBS,Pawan Kalyan,,,
Katamarayudu,Pawan Kalyan,,,
Agnyaathavaasi,Pawan Kalyan,,,
Vakeel Saab,Pawan Kalyan,,,
Bheemla Nayak,Pawan Kalyan,,,
They Call Him OG,Pawan Kalyan,,,
Attarintiki Daredi,Pawan Kalyan,186.0,10.0,Super Hit
Gabbar Singh,Pawan Kalyan,150.0,10.0,Super Hit
Cameraman Gangatho Rambabu,Pawan Kalyan,,,
Teen Maar,Pawan Kalyan,,,
Eeswar,Prabhas,,,
Raghavendra,Prabhas,,,
Varsham,Prabhas,,,
Adavi Ramudu,Prabhas,,,
Chatrapathi,Prabhas,38.0,2.0,Average
Bujjigadu,Prabhas,,,
Billa,Prabhas,,,
Mirchi,Prabhas,130.0,6.0,Super Hit
Baahubali: The Beginning,Prabhas,650.0,25.0,Blockbuster
Baahubali 2: The Conclusion,Prabhas,1810.0,41.0,Blockbuster
Saaho,Prabhas,,,
Radhe Shyam,Prabhas,,,
Adipurush,Prabhas,,,
Salaar,Prabhas,,,
Kalki 2898 AD,Prabhas,,,
Darling,Prabhas,,,
Mr. Perfect,Prabhas,,,
Chirutha,Ram Charan,,,
Magadheera,Ram Charan,150.0,10.0,Super Hit
Orange,Ram Charan,,,
Leader,Ram Charan,,,
Racha,Ram Charan,,,
Naayak,Ram Charan,,,
Zanjeer,Ram Charan,,,
Yevadu,Ram Charan,,,
Govindudu Andarivadele,Ram Charan,,,
Dhruva,Ram Charan,,,
Rangasthalam,Ram Charan,216.0,12.0,Blockbuster
Vinaya Vidheya Rama,Ram Charan,,,
Acharya,Ram Charan,,,
RRR,Ram Charan,1230.0,134.0,Blockbuster
Bruce Lee,Ram Charan,,,
Toofaan,Ram Charan,,,
Game Changer,Ram Charan,,,
