movie_name,total_WW_cls,hero_name,verdict,day1_WW_Gross_cr,year_of_release
Gangotri,N/A,Allu Arjun,N/A,N/A,N/A
Arya,N/A,Allu Arjun,N/A,N/A,N/A
Desamuduru,N/A,Allu Arjun,N/A,N/A,N/A
Happy,N/A,Allu Arjun,N/A,N/A,N/A
Bunny,N/A,Allu Arjun,N/A,N/A,N/A
Arya 2,N/A,Allu Arjun,N/A,N/A,N/A
Vedam,N/A,Allu Arjun,N/A,N/A,N/A
Badrinath,N/A,Allu Arjun,N/A,N/A,N/A
Julayi,N/A,Allu Arjun,N/A,N/A,N/A
Race Gurram,N/A,Allu Arjun,N/A,N/A,N/A
S/O Satyamurthy,N/A,Allu Arjun,N/A,N/A,N/A
Sarrainodu,N/A,Allu Arjun,N/A,N/A,N/A
Duvvada Jagannadham,N/A,Allu Arjun,N/A,N/A,N/A
Naa Peru Surya,N/A,Allu Arjun,N/A,N/A,N/A
Ala Vaikunthapurramuloo,270 Cr,Allu Arjun,Blockbuster,N/A,2020
Pushpa: The Rise,375.75 Cr,Allu Arjun,Blockbuster,70 Cr,2021
Pushpa 2: The Rule,1725 Cr,Allu Arjun,All Time Blockbuster,209 Cr,2024
Parugu,N/A,Allu Arjun,N/A,N/A,N/A
Rudhramadevi,N/A,Allu Arjun,N/A,N/A,N/A
Student No: 1,N/A,Jr NTR,N/A,N/A,N/A
Subbu,N/A,Jr NTR,N/A,N/A,N/A
Ninnu Choodalani,N/A,Jr NTR,N/A,N/A,N/A
Aadi,N/A,Jr NTR,N/A,N/A,N/A
Santosham,N/A,Jr NTR,N/A,N/A,N/A
Simhadri,N/A,Jr NTR,N/A,N/A,N/A
Rakhi,N/A,Jr NTR,N/A,N/A,N/A
Ashok,N/A,Jr NTR,N/A,N/A,N/A
Yamadonga,N/A,Jr NTR,N/A,N/A,N/A
Kantri,N/A,Jr NTR,N/A,N/A,N/A
Adhurs,N/A,Jr NTR,N/A,N/A,N/A
Brindavanam,N/A,Jr NTR,N/A,N/A,N/A
Shakti,N/A,Jr NTR,N/A,N/A,N/A
Oosaravelli,N/A,Jr NTR,N/A,N/A,N/A
Dammu,N/A,Jr NTR,N/A,N/A,N/A
Janatha Garage,N/A,Jr NTR,N/A,N/A,N/A
Temper,N/A,Jr NTR,N/A,N/A,N/A
